date,scan_time,ticker,mode,score,pct_from_open,rvol,entry_price,return_1h_pct,max_gain_1h_pct,stop_hit_1h,return_2h_pct,max_gain_2h_pct,stop_hit_2h,return_4h_pct,max_gain_4h_pct,stop_hit_4h,return_eod_pct,max_gain_session_pct,level_price,level_touches,level_type,dist_pct,atr,stop_loss,return_1d_pct,max_gain_1d_pct,stop_hit_1d,return_3d_pct,max_gain_3d_pct,stop_hit_3d,return_5d_pct,max_gain_5d_pct,stop_hit_5d
2026-04-17,17:30 BST,AAME,MODE1_MOMENTUM,8.97,7.93,9.66,2.6281,0.45,0.45,False,-0.88,0.45,False,-0.88,0.45,False,-0.88,0.45,,,,,,,,,,,,,,,
2026-04-17,18:00 BST,AAME,MODE1_MOMENTUM,8.18,6.37,9.36,2.59,1.93,1.93,False,0.58,1.93,False,0.58,1.93,False,0.58,1.93,,,,,,,,,,,,,,,
2026-04-17,18:30 BST,AAME,MODE1_MOMENTUM,9.21,8.42,9.56,2.64,-1.33,0.0,False,-1.33,0.0,False,-1.33,0.0,False,-1.33,0.0,,,,,,,,,,,,,,,
2026-05-18,14:30 BST,AAME,SUPPORT_BOUNCE,4.43,,,2.25,,,,,,,,,,,,2.19,4.0,support,2.74,0.11,2.0414,-2.67,0.89,False,-0.44,0.89,False,-4.0,0.89,False
2026-05-20,14:30 BST,AAME,SUPPORT_BOUNCE,6.29,,,2.19,,,,,,,,,,,,2.155,4.0,support,1.62,0.1,2.0279,2.28,2.74,False,-1.37,2.74,False,2.28,2.74,False
2026-04-16,14:30 BST,AAP,RESISTANCE_WARNING,8.28,,,56.88,,,,,,,,,,,,57.1262,4.0,resistance,0.43,2.18,54.8869,1.07,2.92,False,3.25,3.32,False,2.25,7.14,False
2026-04-22,14:30 BST,AAP,SUPPORT_BOUNCE,7.55,,,58.73,,,,,,,,,,,,58.225,4.0,support,0.87,2.17,55.6239,-0.97,2.89,False,-1.46,2.89,False,-5.06,2.89,True
2026-04-24,14:30 BST,AAP,RESISTANCE_WARNING,4.86,,,58.16,,,,,,,,,,,,59.6401,4.0,resistance,2.48,2.18,56.5881,-0.5,1.48,False,-4.13,1.48,True,1.32,3.25,True
2026-04-27,14:30 BST,AAP,RESISTANCE_WARNING,4.92,,,58.18,,,,,,,,,,,,59.6401,4.0,resistance,2.45,2.18,56.5859,-2.72,1.41,True,2.29,3.15,True,-1.38,3.21,True
2026-04-28,14:30 BST,AAP,RESISTANCE_WARNING,4.05,,,57.87,,,,,,,,,,,,59.6401,4.0,resistance,2.97,2.26,56.7627,-3.65,-1.81,True,1.83,3.77,True,-1.68,3.77,True
2026-05-01,14:30 BST,AAP,RESISTANCE_WARNING,8.06,,,59.51,,,,,,,,,,,,59.8474,4.0,resistance,0.56,2.15,57.4446,-3.58,0.72,True,-2.42,0.72,True,-5.65,0.72,True
2026-05-04,14:30 BST,AAP,RESISTANCE_WARNING,4.18,,,58.93,,,,,,,,,,,,60.685,4.0,resistance,2.89,2.13,57.92,-3.44,-0.81,True,-2.88,0.12,True,-12.05,0.12,True
2026-05-21,15:30 BST,AAP,MODE1_MOMENTUM,7.66,5.32,5.44,60.655,0.93,1.31,False,2.18,2.53,False,-1.23,2.53,False,-3.37,2.53,,,,,,,,,,,,,,,
2026-05-21,16:00 BST,AAP,MODE1_MOMENTUM,7.9,5.81,5.35,60.935,1.58,1.77,False,-1.35,2.06,False,-2.39,2.06,False,-3.82,2.06,,,,,,,,,,,,,,,
2026-05-21,16:30 BST,AAP,MODE1_MOMENTUM,8.15,6.3,5.21,61.22,1.24,1.58,False,-1.28,1.58,False,-3.71,1.58,True,-4.26,1.58,,,,,,,,,,,,,,,
2026-05-29,14:30 BST,AAP,RESISTANCE_WARNING,6.73,,,59.86,,,,,,,,,,,,60.685,4.0,resistance,1.36,3.61,56.4393,-0.94,4.11,False,-4.58,4.11,True,-6.63,4.11,True
2026-06-01,14:30 BST,AAP,RESISTANCE_WARNING,6.23,,,60.24,,,,,,,,,,,,61.2584,4.0,resistance,1.66,3.58,57.3614,-4.3,-1.58,True,-7.22,-1.58,True,-7.22,-1.58,True
2026-06-02,14:30 BST,AAP,RESISTANCE_WARNING,4.43,,,59.3,,,,,,,,,,,,60.97,4.0,resistance,2.74,3.49,56.94,-3.68,-2.97,True,-5.75,-2.61,True,-5.75,-2.61,True
2026-05-07,14:30 BST,AAGIY,RESISTANCE_WARNING,4.79,,,44.5555,,,,,,,,,,,,45.7105,4.0,resistance,2.53,0.89,44.4938,-1.63,-1.54,True,-1.99,-1.32,True,-0.42,0.44,True
2026-05-14,14:30 BST,AAGIY,RESISTANCE_WARNING,5.51,,,44.7521,,,,,,,,,,,,45.7105,4.0,resistance,2.1,0.84,44.538,-2.0,-1.08,True,-4.09,-1.08,True,-3.51,-1.08,True
2026-05-15,14:30 BST,AAGIY,RESISTANCE_WARNING,4.11,,,44.3688,,,,,,,,,,,,45.7105,4.0,resistance,2.94,0.87,44.512,-1.64,-0.95,True,-3.63,-0.95,True,-3.1,-0.95,True
2026-04-22,15:30 BST,AACG,MODE1_MOMENTUM,8.2,6.39,8.97,1.115,2.24,2.24,False,-3.14,2.24,True,-0.45,2.24,True,1.35,3.04,,,,,,,,,,,,,,,
2026-04-22,16:00 BST,AACG,MODE1_MOMENTUM,8.2,6.39,8.97,1.115,-3.14,2.24,True,-1.35,2.24,True,3.04,3.04,True,1.35,3.04,,,,,,,,,,,,,,,
2026-04-22,16:30 BST,AACG,MODE1_MOMENTUM,9.39,8.78,7.56,1.14,-5.26,-0.0,True,-2.63,-0.0,True,0.78,0.78,True,-0.87,0.78,,,,,,,,,,,,,,,
2026-04-22,18:30 BST,AACG,MODE1_MOMENTUM,7.96,5.92,10.07,1.11,,,,3.5,3.5,False,1.81,3.5,False,1.81,3.5,,,,,,,,,,,,,,,
2026-04-23,15:30 BST,AACG,MODE1_MOMENTUM,7.54,5.08,51.58,1.24,-6.45,-3.23,True,-8.06,-3.23,True,-8.06,-3.23,True,-7.27,-3.23,,,,,,,,,,,,,,,
2026-04-24,15:30 BST,AACG,MODE1_MOMENTUM,10.0,18.73,23.72,1.3299,-6.0,11.29,True,-4.13,11.29,True,-5.26,11.29,True,-3.0,11.29,,,,,,,,,,,,,,,
2026-04-24,16:00 BST,AACG,MODE1_MOMENTUM,10.0,19.63,36.48,1.34,-4.48,2.24,True,-5.22,2.24,True,-4.85,2.24,True,-3.73,2.24,,,,,,,,,,,,,,,
2026-04-24,16:30 BST,AACG,MODE1_MOMENTUM,10.0,11.61,33.41,1.2501,1.99,2.39,False,2.23,2.39,False,1.99,2.39,False,3.19,3.19,,,,,,,,,,,,,,,
2026-04-24,17:00 BST,AACG,MODE1_MOMENTUM,10.0,14.28,31.89,1.28,-0.78,-0.0,False,-1.56,-0.0,True,0.78,0.78,True,0.78,0.78,,,,,,,,,,,,,,,
2026-04-24,17:30 BST,AACG,MODE1_MOMENTUM,10.0,13.83,27.35,1.275,0.24,0.39,False,-1.18,0.39,True,1.18,1.18,True,1.18,1.18,,,,,,,,,,,,,,,
2026-04-24,18:00 BST,AACG,MODE1_MOMENTUM,10.0,13.38,25.28,1.27,-0.79,0.63,True,0.39,0.79,True,1.57,1.57,True,1.57,1.57,,,,,,,,,,,,,,,
2026-04-24,18:30 BST,AACG,MODE1_MOMENTUM,10.0,14.1,24.04,1.278,-1.41,-0.63,True,-0.23,0.16,True,0.94,0.94,True,0.94,0.94,,,,,,,,,,,,,,,
2026-05-04,14:30 BST,AACG,RESISTANCE_WARNING,8.29,,,1.17,,,,,,,,,,,,1.175,4.0,resistance,0.43,0.12,1.0507,-3.42,-2.56,True,1.71,6.84,True,-2.56,6.84,True
2026-05-05,14:30 BST,AACG,RESISTANCE_WARNING,6.78,,,1.11,,,,,,,,,,,,1.125,4.0,resistance,1.33,0.12,0.9879,7.21,12.61,False,5.41,12.61,False,9.91,12.61,False
2026-05-06,15:30 BST,AACG,MODE1_MOMENTUM,9.46,8.93,25.01,1.22,0.82,0.82,False,-2.87,0.82,False,-1.64,0.82,True,0.82,0.82,,,,,,,,,,,,,,,
2026-05-06,16:00 BST,AACG,MODE1_MOMENTUM,9.91,9.82,21.88,1.23,-3.66,-3.66,True,-6.5,-3.66,True,-2.44,0.0,True,0.0,0.0,,,,,,,,,,,,,,,
2026-05-06,16:30 BST,AACG,MODE1_MOMENTUM,9.91,9.82,21.88,1.23,-3.66,-3.66,True,-6.5,-3.66,True,-0.81,0.0,True,0.0,0.0,,,,,,,,,,,,,,,
2026-05-06,17:00 BST,AACG,MODE1_MOMENTUM,7.9,5.8,19.68,1.185,-2.95,-2.95,False,1.27,3.8,False,3.8,3.8,False,3.8,3.8,,,,,,,,,,,,,,,
2026-05-06,17:30 BST,AACG,MODE1_MOMENTUM,7.9,5.8,19.68,1.185,-2.95,-2.95,False,1.27,3.8,False,3.8,3.8,False,3.8,3.8,,,,,,,,,,,,,,,
